randomise_index	participant	contrast	delta_fd_mean	delta_fd_mean_mean	delta_fd_mean_demeaned
0	sub-189	rtpj-minus-vlpfc	-0.020982	-0.02432335556	0.003341355556
1	sub-203	rtpj-minus-vlpfc	0.030265	-0.02432335556	0.05458835556
2	sub-207	rtpj-minus-vlpfc	-0.144136	-0.02432335556	-0.1198126444
3	sub-208	rtpj-minus-vlpfc	-0.036233	-0.02432335556	-0.01190964444
4	sub-209	rtpj-minus-vlpfc	-0.299864	-0.02432335556	-0.2755406444
5	sub-210	rtpj-minus-vlpfc	0.030088	-0.02432335556	0.05441135556
6	sub-211	rtpj-minus-vlpfc	0.010155	-0.02432335556	0.03447835556
7	sub-213	rtpj-minus-vlpfc	0.007551	-0.02432335556	0.03187435556
8	sub-214	rtpj-minus-vlpfc	0.078166	-0.02432335556	0.1024893556
9	sub-215	rtpj-minus-vlpfc	-0.056997	-0.02432335556	-0.03267364444
10	sub-217	rtpj-minus-vlpfc	-0.214205	-0.02432335556	-0.1898816444
11	sub-218	rtpj-minus-vlpfc	-0.075032	-0.02432335556	-0.05070864444
12	sub-219	rtpj-minus-vlpfc	-0.015215	-0.02432335556	0.009108355556
13	sub-220	rtpj-minus-vlpfc	-0.0176643	-0.02432335556	0.006659055556
14	sub-221	rtpj-minus-vlpfc	-0.12379	-0.02432335556	-0.09946664444
15	sub-222	rtpj-minus-vlpfc	-0.029768	-0.02432335556	-0.005444644444
16	sub-225	rtpj-minus-vlpfc	0.014186	-0.02432335556	0.03850935556
17	sub-226	rtpj-minus-vlpfc	0.324279	-0.02432335556	0.3486023556
18	sub-227	rtpj-minus-vlpfc	-0.136938	-0.02432335556	-0.1126146444
19	sub-228	rtpj-minus-vlpfc	0.004765	-0.02432335556	0.02908835556
20	sub-230	rtpj-minus-vlpfc	0.131249	-0.02432335556	0.1555723556
21	sub-231	rtpj-minus-vlpfc	0.046093	-0.02432335556	0.07041635556
22	sub-234	rtpj-minus-vlpfc	0.00976	-0.02432335556	0.03408335556
23	sub-235	rtpj-minus-vlpfc	-0.046109	-0.02432335556	-0.02178564444
24	sub-236	rtpj-minus-vlpfc	-0.0081053	-0.02432335556	0.01621805556
25	sub-237	rtpj-minus-vlpfc	0.032222	-0.02432335556	0.05654535556
26	sub-238	rtpj-minus-vlpfc	-0.150471	-0.02432335556	-0.1261476444
